time	val0	val1	val2	val3	val4	val5	val6	val7
312	353	0	3835	356	1	2	2	1	
314	353	0	3836	356	5	5	8	6	
315	352	2	3840	354	5	6	4	5	
316	356	10	3840	356	5	9	8	9	
317	353	13	3836	356	9	8	9	9	
318	353	13	3835	357	8	8	9	9	
319	353	22	3836	356	12	13	13	14	
320	354	30	3838	356	13	13	13	14	
321	353	25	3834	356	10	10	10	11	
322	353	16	3834	357	8	8	8	9	
323	353	8	3836	356	5	6	5	5	
325	353	5	3836	356	5	5	5	5	
326	353	4	3835	356	5	5	4	5	
327	353	1	3836	356	4	4	3	2	
328	353	0	3837	357	0	0	0	0	
329	353	0	3836	356	0	1	1	0	
330	354	0	3840	356	4	5	6	5	
331	353	3	3831	356	6	7	9	6	
332	355	10	3839	356	7	7	7	6	
333	351	13	3823	355	6	9	7	10	
334	353	13	3836	356	9	7	9	7	
336	353	17	3835	356	10	10	13	13	
337	353	30	3836	356	12	13	14	15	
338	353	28	3836	357	10	11	10	11	
339	353	18	3835	356	9	8	8	9	
340	353	9	3833	356	6	6	6	5	
341	353	5	3836	356	6	6	5	5	
342	353	3	3836	356	5	5	5	4	
343	353	2	3836	356	5	5	4	4	
344	353	0	3833	356	0	0	0	0	
345	353	0	3836	356	0	0	0	0	
346	353	0	3835	356	4	5	5	4	
348	353	4	3839	356	5	6	7	5	
349	353	8	3835	356	8	8	7	7	
350	353	10	3837	356	3	5	8	4	
351	353	12	3839	359	9	9	9	9	
352	353	13	3836	356	9	10	10	12	
353	354	29	3836	356	13	14	13	16	
354	353	29	3833	356	11	12	12	12	
355	353	20	3836	356	10	9	8	10	
356	353	9	3836	356	6	7	6	6	
357	353	5	3835	356	5	5	5	5	
359	353	5	3835	356	5	5	5	4	
360	353	1	3836	356	5	4	4	4	
361	353	0	3836	357	0	0	0	0	
362	353	0	3835	356	0	0	0	0	
363	353	0	3839	356	2	4	4	2	
364	353	2	3835	356	5	6	7	5	
365	353	7	3836	357	7	7	9	7	
366	353	10	3834	356	8	7	8	8	
367	354	13	3838	356	8	9	9	9	
368	353	13	3831	360	9	9	9	10	
369	353	28	3839	356	13	14	14	15	
371	353	31	3836	357	13	12	11	13	
372	353	21	3834	356	10	9	8	10	
373	353	13	3839	356	6	6	6	6	
374	353	5	3836	356	5	6	6	5	
375	353	4	3836	357	5	5	6	5	
376	353	2	3835	356	4	5	5	4	
377	354	0	3836	356	1	1	0	0	
378	354	0	3837	356	0	0	0	0	
379	353	0	3835	356	2	3	3	2	
380	353	0	3836	356	6	7	6	5	
382	353	8	3835	356	7	7	8	8	
383	353	10	3833	356	7	8	9	8	
384	353	11	3836	356	8	9	8	9	
385	353	15	3836	357	9	8	9	9	
386	356	25	3856	356	10	13	8	15	
